pop	long	lat	clust
AL2	-87.514533	31.547925	REAR_East
AL23	-86.78484	32.19395	REAR_East
AL8	-86.4933	32.256099	REAR_East
FL81	-85.22535	30.81165	REAR_East
FL83	-84.959817	30.564683	REAR_East
AL19	-88.191917	32.606995	REAR_West
AL22	-87.504892	32.503764	REAR_West
AL79	-88.2082	32.929317	REAR_West
MS6	-89.35603374	31.99803227	REAR_West
MS8	-88.83093	34.404268	REAR_West
MS9	-89.017099	33.927784	REAR_West
AL21	-86.7982867	33.4910883	REAR_Core
AL7	-87.53973	34.47732	REAR_Core
ALBG	-86.51638	34.65346	REAR_Core
AL21	-86.7982867	33.4910883	REAR_Core
AL7	-87.53973	34.47732	REAR_Core
TN2	-85.380683	35.749763	REAR_Core
