longitude	latitude	prediction	ID
-88.19192	32.60699		AL19
-87.51453	31.54792		AL2
-86.79829	33.49109		AL21
-87.50489	32.50376		AL22
-86.78484	32.19395		AL23
-87.53973	34.47732		AL7
-88.2082	32.92932		AL79
-86.4933	32.2561		AL8
-86.51638	34.65346		ALBG
-94.30464	36.15235		AR2
-85.22535	30.81165		FL81
-84.95982	30.56468		FL83
-84.69664	34.60074		GA1
-83.87092	34.72684		GA2
-93.67417	41.69417		IA12
-90.63611	42.46194		IA17
-89.01778	40.6175		IL10
-85.23872	41.01731		IN2
-86.54833	39.14583		IN5
-86.1602	39.87011		IN7
-95.68152	39.04742		KS60
-84.98688	38.09215		KY1
-84.77186	37.36005		KY5
-85.43706	42.62369		MI2
-93.192	44.901		MN117
-92.43222	44.02861		MN8
-92.28509	38.83025		MO2
-89.35603	31.99803		MS6
-88.83093	34.40427		MS8
-89.0171	33.92778		MS9
-82.89538	35.94278		NC107
-81.679	36.185		NC16
-83.997	39.885		OH119
-95.05494	36.08091		OK1
-94.56694	33.94639		OK61
-85.38068	35.74976		TN2
-90.0677	35.30932		TN3
-86.29611	36.08222		TN34
-89.63667	43.40972		WI4
